Test_data
"<script type=""text/javascript"" src=""_static/readthedocs-data.js""></script>"
"<form ondblclick=""alert(1)"">test</form>"
" select * from users where id = 1 or ""]{"" or 1 = 1 -- 1"
" select * from users where id = 1 *1 union select 1,banner from v$version where rownum = 1 -- 1"
"<li id=""cite_note-378""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-378"">^ </a> </b> "
"<li>Try the <a class=""reference internal"" href=""faq.html""><span class=""doc"">FAQ"
<address id=x tabindex=1 onactivate=alert(1)></address>
<tr onpointerup=alert(1)>XSS</tr>
"<STYLE>li {list-style-image: url(""javascript:alert('')"");}</STYLE><UL><LI></br>"
"<ul><li><a href=""/wiki/Unmanned_aerial_vehicle"" title=""Unmanned aerial vehicle"">aerial </a> </li>"
"1' )  where 7561 = 7561 and 8514 =  ( select count ( * )  from domain.domains as t1,domain.columns as t2,domain.tables as t3 ) --"
"1""  )  )   )  or 7552 =  ( select count ( * )  from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 )  and   (  (   ( ""atlz"" = ""atlz"
